region,date,mean,median,lower_90,upper_90,lower_50,upper_50
AK,2020-03-06,1.2399395927983665,1.1790931842688528,0.7810487485297033,1.7253761499934517,0.9671173913186182,1.2836565925426664
AK,2020-03-07,1.2422391311089982,1.1800547109753028,0.8198154849425778,1.7896097596481142,0.9897476227074482,1.3184405373574102
AK,2020-03-08,1.241559337378977,1.1771009420749472,0.7919729378934335,1.7422197801544321,0.969810533171613,1.286796857114131
AK,2020-03-09,1.244365373346206,1.1814299819583582,0.7837343356396893,1.753009959811052,0.9336186855018553,1.2481999575270046
AK,2020-03-10,1.245227333706801,1.1862075954864817,0.7570792340478525,1.7402762825894822,0.9550813417675248,1.2637655597491189
AK,2020-03-11,1.240973644481587,1.1808232568005461,0.7461555118428844,1.7297433874374737,0.9525664031227854,1.2594376693655818
AK,2020-03-12,1.239569807346007,1.1718324994068958,0.8024044281511298,1.7610597044110006,0.9311452366830596,1.2325319531729386
AK,2020-03-13,1.2304679266177017,1.1722220211586813,0.7931185005030528,1.7363048009696944,0.966673617305913,1.2756252779912711
AK,2020-03-14,1.2263463132134154,1.1698083543792395,0.7966294299654036,1.7204368829560965,0.9305458130513714,1.2363814533898836
AK,2020-03-15,1.2174016215015375,1.1618219457068384,0.7416972424589674,1.652783150061509,0.9493446670704636,1.2542040378118076
AK,2020-03-16,1.2060166664078276,1.1594816932571685,0.7882623291851752,1.6695083316288617,0.9519645238466317,1.2459255848011632
AK,2020-03-17,1.200085046468836,1.1527422589928986,0.7137460489260334,1.607479561892669,0.980272808649909,1.280841106921309
AK,2020-03-18,1.192996683480373,1.1528935304653238,0.7743241464087804,1.6292877743364609,0.9440402812781107,1.2308105289428832
AK,2020-03-19,1.186841213538448,1.148834554186582,0.7550591661025461,1.60613569870968,0.9631702593667563,1.2421417737558986
AK,2020-03-20,1.177141082130037,1.1418847402734864,0.7572730299507644,1.5969812237213539,0.9680355640990319,1.238991660794962
AK,2020-03-21,1.1644179008617954,1.131477619035047,0.7533282542670263,1.5589840428118742,1.0016072056290302,1.2739935988280948
AK,2020-03-22,1.1567365308412914,1.128136994061316,0.7412216515552916,1.5558526911881991,0.9343349685666469,1.2146674573973626
AK,2020-03-23,1.1430455968277735,1.1202015628709645,0.7619718604924145,1.5849106544521274,0.9635784197116768,1.2377619419741581
AK,2020-03-24,1.1332313999789903,1.1108430033012635,0.7509209602873985,1.583463866821666,0.9438461816916471,1.2151973101572557
AK,2020-03-25,1.1246036541934832,1.1090383171601175,0.7321381121291921,1.566214436599048,0.9375049236440631,1.207450711807341
AK,2020-03-26,1.1198399389612002,1.1014556098195176,0.7677148193925707,1.573505825521441,0.9165618366005103,1.1842736692087419
AK,2020-03-27,1.1130139134499977,1.0938134993613429,0.7035942036569796,1.513133649349978,0.9324810251648026,1.1978315384066247
AK,2020-03-28,1.0994509227556781,1.0865992003637155,0.7132215035279899,1.5411381048221882,0.9455672998671351,1.2102987492340394
AK,2020-03-29,1.0901478121505286,1.0844060559410762,0.7232024631022627,1.5848966426522648,0.9491149205346286,1.2113320608541487
AK,2020-03-30,1.0830141417123225,1.0741959884490866,0.6872660094772303,1.5218170664004704,0.9354055743907064,1.1975744826555086
AK,2020-03-31,1.079617279834478,1.0739468268412649,0.6348125558718976,1.4776554644077153,0.9354481471613842,1.193672730761266
AK,2020-04-01,1.0690902866177798,1.0637426957128375,0.6864888049658737,1.4753319169507766,0.9278000731015253,1.1904739757753255
AK,2020-04-02,1.0610483805152318,1.0568030705127995,0.627381045153518,1.4410777758834155,0.9342350369954993,1.2090691343105866
AK,2020-04-03,1.0635977193745145,1.0633023625646314,0.6167192929750374,1.4540924379803482,0.934374248456104,1.208059192475543
AK,2020-04-04,1.0615668506012295,1.0614202915134618,0.6325750674311656,1.4875445460691146,0.9345012748905512,1.2113493299926177
AK,2020-04-05,1.0538478885103855,1.0608869904840605,0.5919236568199251,1.4439620443716858,0.9134682792521677,1.2093407730672205
AK,2020-04-06,1.0488750149401969,1.0535040555915116,0.6198804887727308,1.4739570078531719,0.9307062093076035,1.2229262989207719
AK,2020-04-07,1.0473963953794316,1.0510028730797736,0.6101448710101878,1.4556137442076365,0.9250135088984327,1.2178975105602492
AK,2020-04-08,1.0505124377216735,1.0528004095265402,0.6345659501897815,1.52274755588045,0.915458944454498,1.2058081201929847
AK,2020-04-09,1.0502128339952024,1.0630894730108893,0.6168805834661975,1.5294574462472459,0.9255211469987855,1.2361874920696445
AK,2020-04-10,1.0517322510153597,1.0516364206154853,0.5066131482956597,1.4572819876179948,0.919144707876156,1.2409965420096645
AK,2020-04-11,1.0450990581129131,1.0494178850744058,0.600799937101882,1.5382708803667717,0.8805197212123594,1.2035530393762064
AK,2020-04-12,1.0424351709041522,1.0533894601416747,0.5682472108414615,1.538464405692797,0.875454199998007,1.2003485791757478
AK,2020-04-13,1.041904498395074,1.053378820112199,0.5664365286887985,1.5466505959735661,0.892696791916882,1.2099693959235422
AK,2020-04-14,1.040173330186633,1.05347578449926,0.4871531142356069,1.5270249295045384,0.9139885492433959,1.2277668926281873
AK,2020-04-15,1.0371499873770114,1.062303717944105,0.49875471540689664,1.5679366049872652,0.9274189088938816,1.2572286666198935
AK,2020-04-16,1.0399750312433527,1.0564425253057819,0.5043591350387321,1.5613540098030954,0.8830067611730801,1.2235341795393648
AK,2020-04-17,1.0413695925536735,1.0503298722058894,0.472556887027903,1.5687528883120294,0.8830989311207994,1.217873579035939
AK,2020-04-18,1.0426841478077242,1.057779900150654,0.4461873012737053,1.5872725003002257,0.9034469208662023,1.2601900656910037
